sepal_length,sepal_width,petal_length,petal_width,species,rcd___id
5.1,3.5,1.4,0.2,setosa,hct8aj0j
4.9,3,1.4,0.2,setosa,usz4uzoh
4.7,3.2,1.3,0.2,setosa,xfi8a7un
4.6,3.1,1.5,0.2,setosa,5suui9gp
5,3.6,1.4,0.2,setosa,n0kzx04y
5.4,3.9,1.7,0.4,setosa,6twpvc5x
4.6,3.4,1.4,0.3,setosa,l040oyb3
5,3.4,1.5,0.2,setosa,xsd3wnf1
4.4,2.9,1.4,0.2,setosa,hoyeif6z
4.9,3.1,1.5,0.1,setosa,3kbh5tzs
5.4,3.7,1.5,0.2,setosa,zp5z9f02
4.8,3.4,1.6,0.2,setosa,yy7kj7xv
4.8,3,1.4,0.1,setosa,722pit97
4.3,3,1.1,0.1,setosa,a2ypcybq
5.8,4,1.2,0.2,setosa,q1tm15n1
5.7,4.4,1.5,0.4,setosa,spgquptw
5.4,3.9,1.3,0.4,setosa,9t2s8pt3
5.1,3.5,1.4,0.3,setosa,spgjl0w3
5.7,3.8,1.7,0.3,setosa,ywqb0n6v
5.1,3.8,1.5,0.3,setosa,ntaa2l3u
5.4,3.4,1.7,0.2,setosa,t8dhewfe
5.1,3.7,1.5,0.4,setosa,penhnmf6
4.6,3.6,1,0.2,setosa,zhgvblgy
5.1,3.3,1.7,0.5,setosa,9jjgiiw5
4.8,3.4,1.9,0.2,setosa,g4130gc6
5,3,1.6,0.2,setosa,uzv1d5lj
5,3.4,1.6,0.4,setosa,4hqwpaut
5.2,3.5,1.5,0.2,setosa,2rnt5v3a
5.2,3.4,1.4,0.2,setosa,sc6vbgua
4.7,3.2,1.6,0.2,setosa,g7zatl1e
4.8,3.1,1.6,0.2,setosa,s5zdwvw6
5.4,3.4,1.5,0.4,setosa,8qeqm5wu
5.2,4.1,1.5,0.1,setosa,cnuwawuh
5.5,4.2,1.4,0.2,setosa,gomuwvqr
4.9,3.1,1.5,0.2,setosa,vpzzq3jm
5,3.2,1.2,0.2,setosa,nnyfm24e
5.5,3.5,1.3,0.2,setosa,a2xctldw
4.9,3.6,1.4,0.1,setosa,ck8y328r
4.4,3,1.3,0.2,setosa,87xe5dfy
5.1,3.4,1.5,0.2,setosa,dy74g8dz
5,3.5,1.3,0.3,setosa,sw8tmws9
4.5,2.3,1.3,0.3,setosa,raqjdyn3
4.4,3.2,1.3,0.2,setosa,h05rto5z
5,3.5,1.6,0.6,setosa,lqhvwk9w
5.1,3.8,1.9,0.4,setosa,qhczv2qn
4.8,3,1.4,0.3,setosa,mw25707r
5.1,3.8,1.6,0.2,setosa,j6s6y540
4.6,3.2,1.4,0.2,setosa,7oeo3wge
5.3,3.7,1.5,0.2,setosa,051a6t2i
5,3.3,1.4,0.2,setosa,hkl72y9d
7,3.2,4.7,1.4,versicolor,t2tq5jco
6.4,3.2,4.5,1.5,versicolor,b6oprzug
6.9,3.1,4.9,1.5,versicolor,ui5xfv6g
5.5,2.3,4,1.3,versicolor,lkfe24kk
6.5,2.8,4.6,1.5,versicolor,i1an3b1a
5.7,2.8,4.5,1.3,versicolor,cf2t15zf
6.3,3.3,4.7,1.6,versicolor,5gbc6p4o
4.9,2.4,3.3,1,versicolor,ksywlvbq
6.6,2.9,4.6,1.3,versicolor,thcm6v6i
5.2,2.7,3.9,1.4,versicolor,6rm3mz2o
5,2,3.5,1,versicolor,bu4r4bw9
5.9,3,4.2,1.5,versicolor,x9d05amv
