id,label,hdtype,format,stats,fld___id
mpg,mpg,Num,"{""spec"":""%f""}","{""n_unique"":25,""n_na"":0,""pct_na"":0,""min"":10.4,""max"":33.9}",17rfjwx8
cyl,cyl,Num,"{""spec"":""%f""}","{""n_unique"":3,""n_na"":0,""pct_na"":0,""min"":4,""max"":8}",oy3tsdbl
disp,disp,Num,"{""spec"":""%f""}","{""n_unique"":27,""n_na"":0,""pct_na"":0,""min"":71.1,""max"":472}",zj5qx8i7
hp,hp,Num,"{""spec"":""%f""}","{""n_unique"":22,""n_na"":0,""pct_na"":0,""min"":52,""max"":335}",lbn9wk1k
drat,drat,Num,"{""spec"":""%f""}","{""n_unique"":22,""n_na"":0,""pct_na"":0,""min"":2.76,""max"":4.93}",uthapf2o
wt,wt,Num,"{""spec"":""%f""}","{""n_unique"":29,""n_na"":0,""pct_na"":0,""min"":1.513,""max"":5.424}",ohyrwoec
qsec,qsec,Num,"{""spec"":""%f""}","{""n_unique"":30,""n_na"":0,""pct_na"":0,""min"":14.5,""max"":22.9}",72nryi4k
vs,vs,Num,"{""spec"":""%f""}","{""n_unique"":2,""n_na"":0,""pct_na"":0,""min"":0,""max"":1}",e0oxfshe
am,am,Num,"{""spec"":""%f""}","{""n_unique"":2,""n_na"":0,""pct_na"":0,""min"":0,""max"":1}",kx97gejn
gear,gear,Num,"{""spec"":""%f""}","{""n_unique"":3,""n_na"":0,""pct_na"":0,""min"":3,""max"":5}",0ps5yexd
carb,carb,Num,"{""spec"":""%f""}","{""n_unique"":6,""n_na"":0,""pct_na"":0,""min"":1,""max"":8}",f0fbvero
